Date,Close/Last,Volume,Open,High,Low,,,
10/10/2016,1763.5,30,1759,1763.5,1759,,,
10/06/2016,1747.5,10,1744,1747.5,1744,,,
10/05/2016,1746.75,20,1741.5,1744.5,1741.5,,,
10/04/2016,1735.5,20,1734.75,1736.5,1733.25,,,
10/03/2016,1733,25,1736.5,1741.25,1736.5,,,
09/30/2016,1739.25,48,1734.75,1738.75,1734.75,,,
09/29/2016,1729.25,16,1726.75,1728.75,1725.25,,,
09/28/2016,1718,10,1716.75,1718.75,1716.75,,,
09/27/2016,1705.25,5,1698.5,1698.5,1698.5,,,
09/26/2016,1708,40,1687.25,1691,1687.25,,,
09/23/2016,1688.25,5,1697.75,1697.75,1697.75,,,
09/20/2016,1632.5,5,1632.5,1632.5,1632.5,,,
09/15/2016,1622,10,1622,1622,1622,,,
09/14/2016,1641.75,5,1640.25,1640.25,1640.25,,,
09/12/2016,1618.5,5,1618.5,1618.5,1618.5,,,
09/07/2016,1642.25,5,1642.25,1642.25,1642.25,,,
09/06/2016,1642.25,10,1639.25,1639.25,1639.25,,,
09/02/2016,1638.75,45,1656.5,1656.5,1644.25,,,
09/01/2016,1649.75,20,1655.75,1665.5,1655.75,,,
08/31/2016,1663,30,1663.25,1667.25,1663.25,,,
08/30/2016,1664.75,10,1681.25,1681.25,1673,,,
08/26/2016,1687.75,35,1684.75,1689,1683.5,,,
08/25/2016,1687.25,13,1682.75,1682.75,1680.5,,,
08/18/2016,1707.75,40,1741.25,1741.25,1719,,,
08/17/2016,1717,5,1729.75,1729.75,1729.75,,,
08/08/2016,1686,5,1678,1678,1678,,,
08/04/2016,1685.5,12,1668,1668,1667.5,,,
08/03/2016,1667.75,17,1680.75,1680.75,1680.75,,,
08/01/2016,1668,10,1668,1668,1668,,,
07/27/2016,1643,14,1643,1643,1643,,,
07/26/2016,1632,10,1632,1632,1632,,,
07/25/2016,1627.5,3,1640.5,1640.5,1640.5,,,
07/22/2016,1642.75,30,1645.75,1651.75,1640.5,,,
07/21/2016,1642.25,12,1637,1639.5,1631.25,,,
07/20/2016,1632.75,6,1662.5,1662.5,1662.5,,,
07/19/2016,1648.75,4,1648.75,1648.75,1648.75,,,
07/18/2016,1679,1,1686.5,1686.5,1686.5,,,
07/15/2016,1686.5,14,1716.75,1716.75,1697,,,
07/14/2016,1708.25,6,1714.25,1714.25,1712,,,
07/13/2016,1719,9,1714.75,1714.75,1707,,,
07/12/2016,1714,17,1714,1714,1714,,,
07/11/2016,1689,14,1686,1689.5,1686,,,
07/08/2016,1699,9,1681.75,1691,1681.75,,,
07/05/2016,1685.75,5,1685.75,1685.75,1685.75,,,
